Column1;user_id;status_id;created_at;is_retweet;is_quote;is_reply;lang;text;created_at_int;hora;dia
236865;user3603;tweet248789;2019-11-03 21:19:00;FALSO;FALSO;FALSO;es;"La propuesta era LEVANTAR EL BLOQUEO A CUBA.
De 193 países, 191 votaron que SI y solo dos (EEUU e Israel) votaron que NO.
Si una inteligencia alienígena avanzada interesada en nuestra civilizaciòn me preguntara cuál fue la decisión:
-Pues, hombre, claro...SEGUIR CON EL BLOQUEO !! https://t.co/hIYHc0wnuq";201911030;21;1
236870;user3603;tweet248624;2019-11-03 20:46:00;FALSO;FALSO;FALSO;es;"Alberto Federico Ravel emitió el siguiente aviso clasificado:
""Por no haberse recibido aún ninguna postulación, se busca embajador de Guaidó en El Salvador. Sin experiencia anterior. No importa la presencia. Empleo solo por dos meses"".
Firmado en el DESPECHO de la Presidencia. https://t.co/3SFrpBtPi4";201911030;20;1
236871;user3603;tweet247917;2019-11-03 18:08:00;FALSO;FALSO;FALSO;es;"GENIAL BASHAR AL ASSAD:
""Trump es el mejor presidente de EE.UU. que ha habido.
Porque él es transparente. Dijo que ellos quieren petróleo, dar servicio para eliminar personas y recibir dinero. Esa es la verdad. Es la política americana. żQué mejor que un enemigo transparente?"" https://t.co/A0SD5YfbiU";201911030;18;1
236872;user3603;tweet248581;2019-11-03 20:38:00;FALSO;FALSO;FALSO;es;"La autoembajadora más breve que ha tenido el autoproclamado Juan Guaidó se llama Elisa Trotta Gamus.

Después de las elecciones, sus amigos en Argentina le dicen ""Laca"".

Elisa Trotta Laca Gamus. https://t.co/KhAhR9LWx7";201911030;20;1
236873;user3603;tweet249169;2019-11-03 22:36:00;FALSO;FALSO;FALSO;es;Viendo el excelente capítulo de #LaDamaYElVigilante no puedo evitar recordar cuando Marcel Granier, arrogantemente, decía que solo él sabía hacer televisión.;201911030;22;1
236878;user3603;tweet247821;2019-11-03 17:49:00;FALSO;FALSO;FALSO;es;"Dicen expertos, extraoficial y supuestamente que Nicolás Maduro acaba de enviar a su agente y arma secreta Lilian Tintori a una visita oficial al presidente de El Salvador @nayibbukele 
Ampliaremos... https://t.co/88OiVmB5ja";201911030;17;1
236879;user3603;tweet248109;2019-11-03 18:53:00;FALSO;FALSO;FALSO;es;"Xi Jinping en visita de Bolsonaro:

""Podremos hablar de negocios, pero no cierro ninguno hasta que vuelva Lula"". https://t.co/qvFg9JP8qB";201911030;18;1
236881;user3603;tweet248510;2019-11-03 20:22:00;FALSO;FALSO;FALSO;es;"ENCUESTA.
El 3 de Noviembre de 2020, exactamente dentro de 365 días, habrá elecciones presidenciales en EE.UU.

żCuál será el destino de Donald Trump?

Gracias por tu voto y sobre todo por tu amable RT para obtener más amplios resultados.";201911030;20;1
236882;user3603;tweet248210;2019-11-03 19:23:00;FALSO;FALSO;FALSO;es;"BIOLOGÍA:
En Venezuela, hay cuatro especies en vías de inminente extinción :
-Los Caimanes del Orinoco.
-Los Osos Frontinos.
-Los Manatíes. 
- y los que aún creen que Guaidó es ""presidente"" de algo. https://t.co/dqyFVraTzE";201911030;19;1
236884;user3603;tweet248425;2019-11-03 20:06:00;FALSO;FALSO;FALSO;es;"RUSIA CREA SU PROPIO INTERNET independiente de EE.U.U. 

Conozcan la RUnet !!

https://t.co/aI2qrE4T54";201911030;20;1
236891;user3603;tweet248485;2019-11-03 20:17:00;FALSO;FALSO;FALSO;es;"""China estudia la posibilidad de cambiar el nombre a la tecnología 5G para América Latina por razones publicitarias.
Se habla de llamarla G5 o GFive"".

Es entendible. A los latinos no nos gusta estar 5G. https://t.co/8BLDGO7NS0";201911030;20;1
236892;user3603;tweet248923;2019-11-03 21:45:00;FALSO;FALSO;FALSO;es;"#ManosFueraDeCuba 
La propuesta era LEVANTAR EL BLOQUEO A CUBA.
De 193 países, 191 votaron que SI y solo dos (EEUU e Israel) que NO.
Si una inteligencia alienígena interesada en nuestra civilizaciòn me preguntara cuál fue la decisión:
-Pues, hombre, claro...SEGUIR CON EL BLOQUEO! https://t.co/dEKJCD7n2S";201911030;21;1
236896;user3603;tweet246925;2019-11-03 15:00:00;FALSO;FALSO;FALSO;es;"ESTO NO ES UN CHISTE !!
Ojalá lo fuera.
Los peruanos, que han sido el pueblo más xenófobo contra los venezolanos en su país, PIDEN EL FIN DEL ABUSO LABORAL Y LA XENOFOBIA CONTRA ELLOS...en Chile !!
https://t.co/xZ6UuuawTn https://t.co/3qsv3cdxXd";201911030;15;1
236903;user3603;tweet247632;2019-11-03 17:08:00;FALSO;FALSO;FALSO;es;"""Los cambios que Chile pide en la calle chocan con la Constitución de Pinochet"". &gt;&gt; https://t.co/TV567Hoh54

żViste Piñera? @sebastianpinera 
No era el metro y sus 30 pesos. 
Era el abuso y sus...30 años. https://t.co/qpUc9CUALV";201911030;17;1
